,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,164.7,2022-06-21 12:40:51.640067,2022-06-21 12:41:03.537300,0 days 00:00:11.897233,relu,7,0.0002532354691581366,1.166731055635991,timy,0.9997467645308419,128,COMPLETE
1,1,110.9,2022-06-21 12:41:03.539595,2022-06-21 12:41:15.304309,0 days 00:00:11.764714,relu,9,0.00011971031714215872,0.7868026427971981,timy,0.9998802896828578,512,COMPLETE
2,2,9.4,2022-06-21 12:41:15.306933,2022-06-21 12:41:32.187498,0 days 00:00:16.880565,tanh,3,0.0895525301820842,0.6395218967190066,small,0.9104474698179158,8,COMPLETE
3,3,9.2,2022-06-21 12:41:32.189702,2022-06-21 12:41:45.822916,0 days 00:00:13.633214,relu,4,0.08829801547949473,0.34452872622463115,small,0.9117019845205052,16,COMPLETE
4,4,9.5,2022-06-21 12:41:45.825067,2022-06-21 12:41:59.644044,0 days 00:00:13.818977,relu,4,0.010146110318723214,3.886426741936195,timy,0.9898538896812767,16,COMPLETE
5,5,109.0,2022-06-21 12:41:59.646364,2022-06-21 12:42:11.358562,0 days 00:00:11.712198,tanh,8,0.0001311141389650859,2.2031781683200626,timy,0.999868885861035,256,COMPLETE
6,6,500.0,2022-06-21 12:42:11.363719,2022-06-21 12:42:23.766428,0 days 00:00:12.402709,relu,6,0.0010243021139195424,1.4938951522542587,timy,0.9989756978860804,64,COMPLETE
7,7,114.8,2022-06-21 12:42:23.768569,2022-06-21 12:42:35.452691,0 days 00:00:11.684122,relu,6,0.00246995781631689,2.1332926983624825,timy,0.9975300421836831,64,COMPLETE
8,8,373.3,2022-06-21 12:42:35.454784,2022-06-21 12:42:47.312632,0 days 00:00:11.857848,tanh,10,0.0011527732889979327,4.86243507950815,small,0.998847226711002,1024,COMPLETE
9,9,113.3,2022-06-21 12:42:47.314818,2022-06-21 12:42:59.425489,0 days 00:00:12.110671,relu,6,0.013245003960060306,2.0193575486166977,timy,0.9867549960399397,64,COMPLETE
10,10,277.5,2022-06-21 12:42:59.427758,2022-06-21 12:43:12.504773,0 days 00:00:13.077015,relu,5,0.0007312146449920395,0.373457872670275,small,0.999268785355008,32,COMPLETE
11,11,495.1,2022-06-21 12:43:12.507023,2022-06-21 12:43:24.565180,0 days 00:00:12.058157,tanh,10,0.0011187747155069559,4.608055382514245,small,0.9988812252844931,1024,COMPLETE
12,12,392.9,2022-06-21 12:43:24.567512,2022-06-21 12:43:36.132869,0 days 00:00:11.565357,tanh,8,0.0006244905426600173,3.6898898281385284,small,0.99937550945734,256,COMPLETE
13,13,265.2,2022-06-21 12:43:36.135243,2022-06-21 12:43:47.756316,0 days 00:00:11.621073,tanh,10,0.0048193815639474636,1.361673451161519,small,0.9951806184360525,1024,COMPLETE
14,14,163.1,2022-06-21 12:43:47.758893,2022-06-21 12:43:53.357253,0 days 00:00:05.598360,tanh,8,0.0016566927930849963,2.952700077048244,small,0.998343307206915,256,PRUNED
15,15,472.8,2022-06-21 12:43:53.359270,2022-06-21 12:44:05.506899,0 days 00:00:12.147629,tanh,7,0.0004684681686297877,1.3883165919224847,timy,0.9995315318313702,128,COMPLETE
16,16,500.0,2022-06-21 12:44:05.509080,2022-06-21 12:44:18.925192,0 days 00:00:13.416112,relu,5,0.00835771653784241,0.6732411257733567,timy,0.9916422834621575,32,COMPLETE
17,17,9.0,2022-06-21 12:44:18.927506,2022-06-21 12:44:25.110134,0 days 00:00:06.182628,relu,5,0.021110426192737078,0.5743205227348134,timy,0.9788895738072629,32,PRUNED
18,18,79.6,2022-06-21 12:44:25.114236,2022-06-21 12:44:31.203302,0 days 00:00:06.089066,relu,5,0.005174693822273991,0.9352845895041054,timy,0.994825306177726,32,PRUNED
19,19,9.5,2022-06-21 12:44:31.205392,2022-06-21 12:44:39.576057,0 days 00:00:08.370665,relu,3,0.02894891684064638,0.5127032450822443,timy,0.9710510831593536,8,PRUNED
20,20,290.6,2022-06-21 12:44:39.577931,2022-06-21 12:44:51.569289,0 days 00:00:11.991358,relu,6,0.0046662712309649005,0.9233634104467607,timy,0.9953337287690351,64,COMPLETE
21,21,185.8,2022-06-21 12:44:51.572287,2022-06-21 12:44:59.146590,0 days 00:00:07.574303,tanh,4,0.0019365306341366316,0.4537539344990926,small,0.9980634693658633,16,PRUNED
